"","District","DownloadScore"
"1","BOLTON",8.92764857881137
"2","LIVERPOOL",8.4510593220339
"3","WIGAN",8.40477528089888
"4","MANCHESTER",8.32585978835979
"5","BURY",8.26286353467562
"6","OLDHAM",8.25669191919192
"7","ROCHDALE",8.22939632545932
"8","TRAFFORD",8.22786069651741
"9","SEFTON",8.13998397435897
"10","TAMESIDE",8.10572289156626
"11","WIRRAL",8.08111111111111
"12","SALFORD",7.97299578059072
"13","STOCKPORT",7.86826741996234
"14","ST HELENS",7.66208333333333
"15","KNOWSLEY",7.53628472222222
