"","District","CrimeCountScore"
"1","MANCHESTER",9.18693129425683
"2","WIGAN",9.16583241992449
"3","ROCHDALE",9.16375245750474
"4","BOLTON",9.14279624893436
"5","WIRRAL",9.14100422777807
"6","OLDHAM",9.12646797849575
"7","KNOWSLEY",9.05343441724516
"8","BURY",9.04222993545244
"9","TAMESIDE",9.02841310437218
"10","STOCKPORT",9.01039459261966
"11","ST HELENS",8.94511935208866
"12","TRAFFORD",8.93683016684935
"13","SALFORD",8.91655502780822
"14","SEFTON",8.84610998549617
"15","LIVERPOOL",8.6981535088952
